Txnuid,Uid,Adjdate,Adjtype,Remitter,Beneficiery,Response,Txndate,Txntime,RRN,Terminalid,Ben_Mobile_No,Rem_Mobile_No,Chbref,Txnamount,Adjamount,Rem/PayeePSP_Fee,Ben_Fee,Ben_FeeSW,Adjfee,Npcifee,Remfeetax,Benfeetax,Npcitax,Adjref,Bankadjref,Adjproof,Compensation amount,time,Penalty,SHDT73,SHDT74,SHDT75,SHDT76,SHDT77,Transaction_Type,Transaction Indicator,Beneficiary Account number,Remitter Account number,Aadhar Number,Mobile Number,Payer PSP,Payee PSP,UPI Transaction ID,Virtual Address,Dispute Flag,Reason Code,MCC,Originating Channel
1240379841,0007044997,01-09-2024 00:00:00,Wrong Credit Chargeback Acceptance,INB,INB,R9,01-09-2024 00:00:00,0:0:0,927273876468,159332,9904426283257,7070190786938,,923.72,923.72,0,0,0,0,0,0,0,0,INB/INB/Wrong Credit Chargeback Acceptance/0007044997,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9089927011591691416,9329120291668487103,,93879981165276,INB,INB,c8865ac3cc9dda4dea1fc2cf,,TCC,U008,0211,UMOB
5357689742,8917181723,01-09-2024 00:00:00,Differed Re-presentment Raise,SBL,YOM,R9,01-09-2024 00:00:00,0:0:0,192773990396,159332,9484009178506,7412202880065,,659.56,659.56,0,0,0,0,0,0,0,0,SBL/YOM/Differed Re-presentment Raise/8917181723,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9008098346694974406,9362779304568858700,,93550436336763,YOM,YOM,fc9ecbb328ef3e97bf86c167,,PBRB,102,2686,IDIR
2227864878,9428532430,01-09-2024 00:00:00,Wrong credit Representment,SBL,YJU,RB,01-09-2024 00:00:00,0:0:0,796825125143,159332,9576933324267,7575649508189,,653.83,653.83,0,0,0,0,0,0,0,0,SBL/YJU/Wrong credit Representment/9428532430,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9073804532339348443,9335687497420721064,,93588804333660,YJU,YJU,a3b3aa650473d53eabf9e33f,,PR2C,104,2754,IDIR
4811355898,3262144662,01-09-2024 00:00:00,Chargeback Acceptance,SBL,PNB,R9,01-09-2024 00:00:00,0:0:0,812006506063,159332,9207131896619,7042259366729,,442.91,442.91,0,0,0,0,0,0,0,0,SBL/PNB/Chargeback Acceptance/3262144662,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9071211396439008305,9343543264209559384,,93338082606641,PNB,PNB,f47bbd58abdac5da2e2eaedd,,TCC,109,2437,IDIR
8780889885,2093712181,01-09-2024 00:00:00,Differed Re-presentment Raise,GTI,AXB,RB,01-09-2024 00:00:00,0:0:0,876127245669,159332,9576170509546,7707936857586,,79.40,79.40,0,0,0,0,0,0,0,0,GTI/AXB/Differed Re-presentment Raise/2093712181,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9076136530166362517,9319755571481193697,,93359030799381,AXB,AXB,51a7e52936eac28c96cb158f,,PR2C,104,4578,UMOB
3126847982,7873803316,01-09-2024 00:00:00,Fraud Chargeback Raise,SBL,PNB,RR,01-09-2024 00:00:00,0:0:0,635035468496,159332,9899153116455,7765710584233,,674.05,674.05,0,0,0,0,0,0,0,0,SBL/PNB/Fraud Chargeback Raise/7873803316,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9051103958783016609,9301032118840770803,,93287448753783,PNB,PNB,b0b695f75cbd6a33eea55bc1,,RRC,104,6738,IDIR
4182873896,5308974588,01-09-2024 00:00:00,Fraud Chargeback Representment,SBL,YOM,RR,01-09-2024 00:00:00,0:0:0,651567873917,159332,9418301076815,7678753270748,,559.43,559.43,0,0,0,0,0,0,0,0,SBL/YOM/Fraud Chargeback Representment/5308974588,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9065112268559137407,9311415237810927436,,93903528339695,YOM,YOM,8dffcfb17041e87e736eaf33,,PR2C,108,6656,IDIR
6736712068,0950829988,01-09-2024 00:00:00,Response to Complaint,SBL,IOB,RB,01-09-2024 00:00:00,0:0:0,340250371922,159332,9697781566660,7077228782676,,275.48,275.48,0,0,0,0,0,0,0,0,SBL/IOB/Response to Complaint/0950829988,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9049609242957429331,9357947331057816463,,93824960948332,IOB,IOB,5b4227d88cada7b4bba4e5d4,,PR2C,108,7216,UMOB
6845966947,3481631542,01-09-2024 00:00:00,Chargeback Acceptance,SBL,IDB,R9,01-09-2024 00:00:00,0:0:0,171741407892,159332,9726878646306,7164857358025,,262.74,262.74,0,0,0,0,0,0,0,0,SBL/IDB/Chargeback Acceptance/3481631542,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9016234970807451275,9312241263854207138,,93552176387292,IDB,IDB,2779fbbeb0fe69a689cb67fc,,TCC,501,1525,UMOB
8608560597,2312600865,01-09-2024 00:00:00,Wrong Credit Chargeback Raise,SBL,ARL,0,01-09-2024 00:00:00,0:0:0,360112133551,159332,9476230027489,7339784141315,,41.02,41.02,0,0,0,0,0,0,0,0,SBL/ARL/Wrong Credit Chargeback Raise/2312600865,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9046526765157131754,9382895972510726181,,93073736447171,ARL,ARL,1acd8ad59e60daefcbb971c0,,PBRB,U010,7246,UMOB
