Date of txn,Amount,Resp Code,Status,RRN,Ext id,Payee Vpa,Txn Note,Payer UPI ID,PayerName,Txn Id,MCC
2024-09-01 00:00:00,123.82,U31,SUCCESS,792523524473,d3a2b461-451a-4322-b234-21925bb10b3a,jiopay.wireless@timecosmos,payMerchant,Torey73@okicici,N,a557ea7aa2ab950f6ceefbad,4814
2024-09-01 00:00:00,961.15,U09,FAILURE,899005812311,a2ef1ba1-207f-40d7-8ad9-cbfbb599ea9a,tripay.expedition@timecosmos,Person,Crawford99@fkaxis,N,6bb2d81bef759e0cfaeed1c6,4722
2024-09-01 00:00:00,46.87,U09,FAILURE,984678192175,9b9e5d84-e0e1-4c75-a8ad-c71a4c4cd739,airpay.drone@timecosmos,PayMerchant,Jasen_Cremin5@paytm,N,faff2cb3be43b0dc5f95f70c,5816
2024-09-01 00:00:00,634.16,U67,FAILURE,347367984690,517916b6-bd13-413e-aea5-b4d4ed6bb836,tripay.globetrot@timecosmos,PayMerchant,Tia_Raynor@okicici,N,cf8a45eaafbd3fc255fbeef7,4722
2024-09-01 00:00:00,923.72,U30,DEEMED,289840492688,39775e18-ae12-44ac-892c-aa911e8b77cc,airpay.robot@timecosmos,payMerchant,Candice43@abfspay,N,c8865ac3cc9dda4dea1fc2cf,5816
2024-09-01 00:00:00,932.98,U09,SUCCESS,486302077698,8c01d74c-b228-439a-b6d1-d72d49f912a3,tripay.tour@timecosmos,PayMerchant,Jamison.Zemlak55@yesg,N,9ef6e8fbbbdf22ae7c61d90d,4722
2024-09-01 00:00:00,671.09,S96,FAILURE,903645638495,7477e66c-328a-4b75-9e34-495066d793e0,finopay.timecosmosrite@timecosmos,payMerchant,Laisha85@yesg,N,f5f54f210a9dadbe34e9bd04,5411
2024-09-01 00:00:00,550.72,S96,FAILURE,835805593241,17e099f3-f123-466f-b28a-75e90927e1ff,finopay.corner@timecosmos,payMerchant,Genesis.Nitzsche28@oksbi,N,27b6bed39c7b4795494ba683,5411
2024-09-01 00:00:00,455.03,N,FAILURE,556427365923,818df70a-cfd0-4a16-8edc-2428ddc41eb4,tripay.globetrot@timecosmos,payMerchant,Cade_Russel43@axl,N,6447b6efc112e2a929e4d3b3,4722
2024-09-01 00:00:00,60.65,U78,FAILURE,551284175962,3f0a0f38-8500-45ef-af9d-73f9719f8ba1,airpay.submarine@timecosmos,PayMerchant,Rosanna_OKeefe32@yapl,N,02ca2d6ffabe221cfc29a5f4,5816
2024-09-01 00:00:00,335.99,U30,FAILURE,466689325788,b175e9d5-cfc8-4754-aebc-c98111b17b3c,finopay.organic@timecosmos,Person,Mittie95@icici,N,f405fbda57fade470cb5a304,5411
2024-09-01 00:00:00,814.60,U67,FAILURE,745033382108,3b9d3130-6e4f-4668-8a20-c6700c72b1fa,finopay.bulkstore@timecosmos,payMerchant,Evie_Stamm65@paytm,N,2ec15fbddca9aeb2c300f8ae,5411
