NPCI_TXN_TYPE,NPCI_STATUS,TXNID,RRN,NPCI_CODE,DATE,TIME,AMOUNT,A,B,C,D,PSP,E,PAYER_VPA,F,MCC,PAYEE_VPA,G,H,I,J,K,L,M,N
TX,U2,a15ba49582c894c8bbcfd82d,524523320562,RB,090224,055709,31021,,1,1,0,HDF,0,Verdie_Wolf45@rapl,IDC,5411,finopay.bulkstore@timecosmos,SMB,SBM2321311,1,26153697877,CNB,BOM8928573,2,24695239343
TX,U2,04aba9ce3e6c55f6cc22bea8,847828810904,Z7,090224,222249,9409,,1,1,0,KMB,0,Tyrique_Nienow@okicici,BOB,5814,razorpay.vegetarian@timecosmos,SMB,SBM4166502,1,26440056690,IPB,FBL8277183,2,56656538656
TX,U2,ca477a6c905309b15abb859d,500425617014,Z9,090224,063709,15957,,1,1,0,FBL,0,Enos.Koelpin@okhdfcbank,BOM,5411,finopay.marketplace@timecosmos,SMB,SBM9019141,1,57442946154,KTP,IDC8964186,2,53743689918
TX,U2,df7edccd3ee15edeeb4f0e11,071865000788,Z7,090224,150717,26933,,1,1,0,IIB,0,Aliya.Donnelly@axisb,IOB,5411,finopay.dailygrocer@timecosmos,SMB,SBM3792792,1,88882098941,YES,IDB9932491,2,30598325203
TX,U2,063fbfee58ccc16e228a0eaa,141969567094,Z7,090224,213847,60736,,1,1,0,IOB,0,Joannie.Johnston@axl,SIB,5816,airpay.scooter@timecosmos,SMB,SBM1431866,1,09395131763,UCO,UCO7974971,2,90029687220
TX,U2,7dcc41d36ce6eaf44b2adb80,652493580849,00,090224,161825,98858,,1,1,0,FIB,0,Bernice_Ullrich@abfspay,APP,5814,razorpay.dessert@timecosmos,SMB,SBM7104693,1,27490005968,BDN,IPB4000957,2,33006639856
TX,U2,582adf13c31df3dbf0aa8f9e,693243442169,0,090224,161702,92124,,1,1,0,HDF,0,Micheal_Lebsack2@abfspay,UCO,5411,finopay.bulkstore@timecosmos,SMB,SBM5969460,1,77016083588,FBL,CNB5271843,2,33227581751
TX,U2,80bdf64f7e5fa47ecad7be6f,151729897584,0,090224,024200,4931,,1,1,0,AXB,0,Otho84@rapl,KVB,5814,razorpay.burger@timecosmos,SMB,SBM9105914,1,82801188155,CNB,BOI1543545,2,17075746983
TX,U2,75bcf9bee116da8ec38d260f,673040671952,Z7,090224,115929,34915,,1,1,0,YOM,0,Cecil.Shanahan23@apl,FIB,5814,razorpay.vegetarian@timecosmos,SMB,SBM3394822,1,54054473070,BOI,UOB5430475,2,96834376794
TX,U2,bae75e37dff4488dfeaa56c5,283822260607,00,090224,022624,52245,,1,1,0,SBI,0,Odie27@oksbi,YJU,5816,airpay.car@timecosmos,SMB,SBM0577498,1,75886209850,SIB,IIB3024596,2,84181496821
TX,U2,4fd7891db3819f2eb9719dee,540548904522,Z9,090224,061200,45839,,1,1,0,SBI,0,Dee_Kertzmann89@abfspay,YBS,5814,razorpay.tacos@timecosmos,SMB,SBM3067410,1,21493477356,CBI,KMB8886460,2,30777232132
TX,U2,ffbaf28e47eb42babbe38b32,462438850866,0,090224,151406,70830,,1,1,0,YOM,0,Amelie70@axisb,YJU,5814,razorpay.vegetarian@timecosmos,SMB,SBM3893062,1,31682851864,IIB,MBK1812707,2,28948282035
TX,U2,346c1ad8c9ff8cccdbfc5ffb,781903614048,RB,090224,103945,4074,,1,1,0,FIB,0,Okey_Mertz6@apl,APP,4814,jiopay.cable@timecosmos,SMB,SBM6254646,1,01678748583,YBS,IDB3757785,2,56442186500
